occ1990,foreign_empl,native_empl,foreign_howo,native_howo,manual_f,manual_n,language_f,language_n,year,occupation,manual,limbs,strength,body,language,oral,written,cognitive,perception,visual,hearing,vocal
164,181,420,253257,684034,120363.72094726562,325096.15087890625,222233.0185546875,600239.83447265625,2000,Librarians,0.47526314854621887,0.49799999594688416,0.46000000834465027,0.4375,0.8774999976158142,0.824999988079071,0.9300000071525574,0.8491666913032532,0.7720000147819519,0.6971428394317627,0.5699999928474426,0.75
165,158,2290,335152,3618348,154169.9208984375,1664440.1080818176,144115.3642578125,1555889.6644058228,2000,Archivists and curators,0.46000000834465027,0.4020000100135803,0.5320000052452087,0.5149999856948853,0.4300000071525574,0.2849999964237213,0.574999988079071,0.5958333611488342,0.5139999985694885,0.6285714507102966,0.35333332419395447,0.44999998807907104
166,782,6371,1255184,10860688,263887.0505065918,2283326.52180624,849543.1856689453,7350813.519556045,2000,"Economists, market researchers, and survey researchers",0.21023774147033691,0.16863447427749634,0.25163447856903076,0.26249998807907104,0.676827609539032,0.5216047167778015,0.8320505023002625,0.6202278137207031,0.2979138195514679,0.35766080021858215,0.30196139216423035,0.4947696924209595
167,157,300,214416,481730,40739.0390625,91528.69921875,195654.6015625,439578.625,2000,Psychologists,0.1899999976158142,0.13699999451637268,0.23800000548362732,0.26249998807907104,0.9125000238418579,0.9100000262260437,0.9150000214576721,0.6558333039283752,0.328000009059906,0.345714271068573,0.2666666805744171,0.8100000023841858
169,40,89,22640,93610,6196.210205078125,25619.578491210938,18508.2001953125,76526.173828125,2000,"Social scientists, n.e.c.",0.27368420362472534,0.20000000298023224,0.3319999873638153,0.38499999046325684,0.8174999952316284,0.6549999713897705,0.9800000190734863,0.621666669845581,0.3580000102519989,0.5057142972946167,0.2199999988079071,0.5799999833106995
173,17,11,21760,22880,7375.49462890625,7755.11572265625,19094.400390625,20077.19921875,2000,Urban and regional planners,0.3389473557472229,0.3479999899864197,0.30000001192092896,0.36500000953674316,0.8774999976158142,0.7900000214576721,0.9649999737739563,0.7683333158493042,0.5720000267028809,0.6442857384681702,0.2866666615009308,0.6949999928474426
174,6565,54915,11191394,102434456,3451661.4324645996,31592941.95323181,8449502.454956055,77338014.11723328,2000,Social workers,0.3084210455417633,0.24199999868869781,0.3959999978542328,0.36500000953674316,0.7549999952316284,0.9100000262260437,0.6000000238418579,0.4983333349227905,0.28600001335144043,0.3214285671710968,0.36666667461395264,0.8899999856948853
175,6272,64897,9559282,88804422,6314157.544433594,58657659.62982178,4970826.472061157,46178297.72608566,2000,Recreation workers,0.6605263352394104,0.4690000116825104,0.8840000033378601,0.8600000143051147,0.5199999809265137,0.800000011920929,0.23999999463558197,0.4350000023841858,0.3880000114440918,0.5114285945892334,0.3100000023841858,0.5699999928474426
176,7021,38614,13252758,70576888,5261309.963439941,28018838.391918182,12093330.75378418,64402417.32960129,2000,Clergy and religious workers,0.3969973623752594,0.4775815010070801,0.3142005503177643,0.29903295636177063,0.9125142693519592,0.889684796333313,0.9353437423706055,0.8224329352378845,0.7764983773231506,0.6710149645805359,0.5777744650840759,0.9400427937507629
178,470,875,1150728,1711860,270118.2607421875,401836.6138000488,1015517.46484375,1510716.437133789,2000,Lawyers,0.2347368448972702,0.1770000010728836,0.2720000147819519,0.33250001072883606,0.8824999928474426,0.8399999737739563,0.925000011920929,0.5733333230018616,0.24199999868869781,0.3742857277393341,0.46666666865348816,0.6650000214576721
179,155,3527,246180,6656547,57787.5166015625,1562536.841852188,217253.845703125,5874402.712501526,2000,Judges,0.2347368448972702,0.1770000010728836,0.2720000147819519,0.33250001072883606,0.8824999928474426,0.8399999737739563,0.925000011920929,0.5733333230018616,0.24199999868869781,0.3742857277393341,0.46666666865348816,0.6650000214576721
183,728,5557,1253776,8633107,343798.5590209961,2367288.7003097534,968541.94091796875,6669075.02898407,2000,Writers and authors,0.27421051263809204,0.28600001335144043,0.2460000067949295,0.2800000011920929,0.7724999785423279,0.5600000023841858,0.9850000143051147,0.4925000071525574,0.38199999928474426,0.427142858505249,0.25999999046325684,0.48500001430511475
184,276,3828,534380,7732567,117844.85620117188,1705234.5667419434,366050.2998046875,5296808.397399902,2000,Technical writers,0.220526322722435,0.19900000095367432,0.23000000417232513,0.26249998807907104,0.6850000023841858,0.38999998569488525,0.9800000190734863,0.35749998688697815,0.2680000066757202,0.3757142722606659,0.1899999976158142,0.17499999701976776
185,25460,126116,43975079,218536582,22589303.84475708,112258792.1141491,19678847.52810669,97795119.05482292,2000,Designers,0.5136842131614685,0.5389999747276306,0.45399999618530273,0.5249999761581421,0.44749999046325684,0.48500001430511475,0.4099999964237213,0.4399999976158142,0.5139999985694885,0.6200000047683716,0.3733333349227905,0.35499998927116394
186,6576,24918,8406956,31922927,3460126.158843994,13138804.87018776,3005486.6788253784,11412446.037496569,2000,Musician or composer,0.4115789532661438,0.39399999380111694,0.37599998712539673,0.5,0.35749998688697815,0.2849999964237213,0.4300000071525574,0.3333333432674408,0.21799999475479126,0.34142857789993286,1,0.10499999672174454
187,2639,14182,4137999,22813475,1650994.591287613,9102207.089756012,3433396.908695221,18928886.75705719,2000,"Actors, directors, producers",0.39898380637168884,0.4302651286125183,0.3435916006565094,0.39002081751823425,0.8297239542007446,0.8528417944908142,0.8066060543060303,0.6930558085441589,0.6471332311630249,0.6501834392547607,0.6956339478492737,0.8043821454048157
188,5244,36495,9024099,62134592,4806520.064826965,33094845.653053284,2752350.2432785034,18951050.90256023,2000,"Art makers: painters, sculptors, craft-artists, and print-makers",0.5326315760612488,0.625,0.4180000126361847,0.4449999928474426,0.3050000071525574,0.25,0.36000001430511475,0.5199999809265137,0.5199999809265137,0.6100000143051147,0.4333333373069763,0.28999999165534973
189,3849,25383,6558519,38788900,5284785.550533295,31255687.194602966,2098726.0376644135,12412447.78546524,2000,Photographers,0.8057894706726074,0.9010000228881836,0.6000000238418579,0.824999988079071,0.3199999928474426,0.32499998807907104,0.3149999976158142,0.7308333516120911,0.8420000076293945,0.9957143068313599,0.6466666460037231,0.09000000357627869
193,1640,13169,2228656,16796985,1663281.1369018557,12535854.911575316,958322.092590332,7222703.621078491,2000,Dancers,0.7463157773017883,0.5410000085830688,0.9539999961853027,1,0.4300000071525574,0.47999998927116394,0.3799999952316284,0.4975000023841858,0.6639999747276306,0.5657142996788025,0.3799999952316284,0.42500001192092896
194,5616,18857,7691202,24867431,2959088.716041565,9567416.704170704,6172189.667800903,19956113.56389427,2000,Art/entertainment performers and related,0.3847368359565735,0.29499998688697815,0.4580000042915344,0.5174999833106995,0.8025000095367432,0.8050000071525574,0.800000011920929,0.5699999928474426,0.7160000205039978,0.4942857027053833,0.903333306312561,0.9300000071525574
195,3165,16338,5924609,28219802,1591091.5832824707,7578608.034706116,5143200.670532227,24497836.80608368,2000,Editors and reporters,0.2685563862323761,0.25443562865257263,0.26920294761657715,0.30305010080337524,0.8681080341339111,0.8077366948127747,0.9284794330596924,0.6639551520347595,0.5632410645484924,0.4762389361858368,0.34004801511764526,0.8421980738639832
198,1501,12922,2269548,19272205,923347.70734787,7840744.619045258,1475206.1685905457,12526932.947660446,2000,Announcers,0.40684211254119873,0.43799999356269836,0.36800000071525574,0.3774999976158142,0.6499999761581421,0.7300000190734863,0.5699999928474426,0.43833333253860474,0.414000004529953,0.5428571701049805,0.7133333086967468,0.7649999856948853
199,4724,30342,6821814,34365264,5240894.694168091,26401295.943125725,2067318.8944396973,10414232.875814676,2000,"Athletes, sports instructors, and officials",0.7682552933692932,0.6251443028450012,0.918129563331604,0.9386900663375854,0.3030453324317932,0.3909286856651306,0.21516196429729462,0.42287036776542664,0.7604846358299255,0.7577074766159058,0.8126090168952942,0.4445982277393341
203,4376,29357,8149360,54131481,5468649.513473511,36325073.048583984,5032229.859176636,33426189.841827393,2000,Clinical laboratory technologies and technicians,0.6710526347160339,0.8149999976158142,0.5460000038146973,0.4675000011920929,0.6175000071525574,0.5249999761581421,0.7099999785423279,0.8991666436195374,0.6940000057220459,0.808571457862854,0.6633333563804626,0.3799999952316284
